title,length_mm,width_mm,image_name,page,image_object,source_width_px,source_height_px,output_width_px,output_height_px,aspect_delta_pct,extraction_method,warnings
GOLD-03,600,1200,p003_001_GOLD-03_0c94ccd9.png,3,Im206,382,756,607,1200,1.216,embedded,
GOLD-09,600,1200,p003_002_GOLD-09_7d5f6f5d.png,3,Im208,382,756,607,1200,1.474,embedded,
GOLD-02,600,1200,p003_003_GOLD-02_61836f20.png,3,Im210,382,756,607,1200,1.184,embedded,
GOLD-20,600,1200,p003_004_GOLD-20_e796e0d7.png,3,Im234,382,756,607,1200,1.184,embedded,
GOLD-21,600,1200,p003_005_GOLD-21_339f5f60.png,3,Im236,382,756,607,1200,1.184,embedded,
GOLD-13,600,1200,p003_006_GOLD-13_9349b50c.png,3,Im238,382,756,607,1200,1.184,embedded,
EL-7012,600,1200,p004_001_EL-7012_c91ec2f4.png,4,Im246,382,756,607,1200,1.441,embedded,
EL-7007,600,1200,p004_002_EL-7007_7b68eed1.png,4,Im248,382,756,607,1200,1.441,embedded,
EL-7002,600,1200,p004_003_EL-7002_af533ecb.png,4,Im250,382,755,608,1200,1.372,embedded,
EL-7021,600,1200,p004_004_EL-7021_311edaa1.png,4,Im252,382,755,608,1200,1.372,embedded,
EL-7020,600,1200,p004_005_EL-7020_bd43a38a.png,4,Im254,382,755,608,1200,1.372,embedded,
EL-7016,600,1200,p004_006_EL-7016_95a63d67.png,4,Im256,382,755,608,1200,1.339,embedded,
ETHOPIA BLUE,600,1200,p004_007_ETHOPIA_BLUE_d4b71b82.png,4,Im258,382,755,608,1200,1.339,embedded,
ESTILA CREMA,600,1200,p004_008_ESTILA_CREMA_809ce15b.png,4,Im260,382,755,608,1200,1.597,embedded,
ISLAND GREY,600,1200,p004_009_ISLAND_GREY_a2effc00.png,4,Im262,382,756,607,1200,1.184,embedded,
VOLCANO WHITE,600,1200,p004_010_VOLCANO_WHITE_8753a19d.png,4,Im264,382,756,607,1200,1.441,embedded,
SAFARI,600,1200,p004_011_SAFARI_4320f4a2.png,4,Im266,382,756,607,1200,1.183,embedded,
GOLD-28,600,1200,p004_012_GOLD-28_e83066e2.png,4,Im268,756,382,1200,607,1.216,embedded,
CORAL AQUA,600,1200,p005_001_CORAL_AQUA_01fae7da.png,5,Im275,382,756,607,1200,1.47,embedded,
CORAL AQUA DECORE,600,1200,p005_002_CORAL_AQUA_DECORE_ac6903db.png,5,Im277,382,756,607,1200,1.217,embedded,
ARMANI ALMOND,600,1200,p005_003_ARMANI_ALMOND_f8b9e783.png,5,Im279,382,755,608,1200,1.339,embedded,
ARMANI GREY,600,1200,p005_004_ARMANI_GREY_ba65e92e.png,5,Im281,382,755,608,1200,1.339,embedded,
ARMANI GRIS,600,1200,p005_005_ARMANI_GRIS_1e4c754e.png,5,Im283,382,755,608,1200,1.339,embedded,
AVORIO ONYX,600,1200,p005_006_AVORIO_ONYX_4d9d749a.png,5,Im285,382,755,608,1200,1.597,embedded,
ARMANI BEIGE,600,1200,p005_007_ARMANI_BEIGE_85331ccc.png,5,Im287,382,755,608,1200,1.339,embedded,
CARAMAL BIANCO,600,1200,p005_008_CARAMAL_BIANCO_b8bed278.png,5,Im289,382,755,608,1200,1.339,embedded,
3D-126,600,1200,p006_001_3D-126_b25d6a8e.png,6,Im296,1071,536,1200,601,0.133,embedded,
ARBESCATO WHITE,600,1200,p006_002_ARBESCATO_WHITE_ee5d3c3e.png,6,Im297,536,1071,601,1200,0.167,embedded,
3D-121,600,1200,p006_003_3D-121_bda098cc.png,6,Im299,536,1071,601,1200,0.167,embedded,
3D-130-A,600,1200,p006_004_3D-130-A_87e40786.png,6,Im301,536,1071,601,1200,0.167,embedded,
